T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
26.6,26.4,100,100,100,100,100,100,'2021/8/31 8:19:45
0,0,100,100,100,100,100,100,'2021/8/31 8:19:53
0,0,100,100,100,100,100,100,'2021/8/31 8:19:59
0,0,100,100,100,100,100,100,'2021/8/31 8:20:03
0,0,100,100,100,100,100,100,'2021/8/31 8:20:09
0,0,100,100,100,100,100,100,'2021/8/31 8:20:13
0,0,100,100,100,100,100,100,'2021/8/31 8:20:19
0,0,100,100,100,100,100,100,'2021/8/31 8:20:23
0,0,100,100,100,100,100,100,'2021/8/31 8:20:29
0,0,100,100,100,100,100,100,'2021/8/31 8:20:33
0,0,100,100,100,100,100,100,'2021/8/31 8:20:39
0,0,100,100,100,100,100,100,'2021/8/31 8:20:43
0,0,100,100,100,100,100,100,'2021/8/31 8:20:49
0,0,100,100,100,100,100,100,'2021/8/31 8:20:53
0,0,100,100,100,100,100,100,'2021/8/31 8:20:59
0,0,100,100,100,100,100,100,'2021/8/31 8:21:03
0,0,100,100,100,100,100,100,'2021/8/31 8:21:09
0,0,100,100,100,100,100,100,'2021/8/31 8:21:13
0,0,100,100,100,100,100,100,'2021/8/31 8:21:19
0,0,100,100,100,100,100,100,'2021/8/31 8:21:23
0,0,100,100,100,100,100,100,'2021/8/31 8:21:29
0,0,100,100,100,100,100,100,'2021/8/31 8:21:33
0,0,100,100,100,100,100,100,'2021/8/31 8:21:39
0,0,100,100,100,100,100,100,'2021/8/31 8:21:43
0,0,100,100,100,100,100,100,'2021/8/31 8:21:49
0,0,100,100,100,100,100,100,'2021/8/31 8:21:53
0,0,100,100,100,100,100,100,'2021/8/31 8:21:59
0,0,100,100,100,100,100,100,'2021/8/31 8:22:03
0,0,100,100,100,100,100,100,'2021/8/31 8:22:09
0,0,100,100,100,100,100,100,'2021/8/31 8:22:13
0,0,100,100,100,100,100,100,'2021/8/31 8:22:19
0,0,100,100,100,100,100,100,'2021/8/31 8:22:23
0,0,100,100,100,100,100,100,'2021/8/31 8:22:29
0,0,100,100,100,100,100,100,'2021/8/31 8:22:33
0,0,100,100,100,100,100,100,'2021/8/31 8:22:39
0,0,100,100,100,100,100,100,'2021/8/31 8:22:43
0,0,100,100,100,100,100,100,'2021/8/31 8:22:49
0,0,100,100,100,100,100,100,'2021/8/31 8:22:53
0,0,100,100,100,100,100,100,'2021/8/31 8:22:59
0,0,100,100,100,100,100,100,'2021/8/31 8:23:03
0,0,100,100,100,100,100,100,'2021/8/31 8:23:09
0,0,100,100,100,100,100,100,'2021/8/31 8:23:13
0,0,100,100,100,100,100,100,'2021/8/31 8:23:19
0,0,100,100,100,100,100,100,'2021/8/31 8:23:23
0,0,100,100,100,100,100,100,'2021/8/31 8:23:29
0,0,100,100,100,100,100,100,'2021/8/31 8:23:33
0,0,100,100,100,100,100,100,'2021/8/31 8:23:39
0,0,100,100,100,100,100,100,'2021/8/31 8:23:43
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:23:46
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:23:51
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:23:56
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:01
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:06
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:11
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:16
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:21
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:26
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:31
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:36
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:41
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:46
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:51
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:24:56
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:25:01
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:25:06
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:25:11
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:25:16
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:25:21
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:25:26
26.5,26.2,100,100,100,100,100,100,'2021/8/31 8:25:31
26.5,26.2,100,100,100,100,100,100,'2021/8/31 8:25:36
26.6,26.2,100,100,100,100,100,100,'2021/8/31 8:25:41
26.5,26.2,100,100,100,100,100,100,'2021/8/31 8:25:46
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:25:51
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:25:56
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:26:01
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:06
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:26:11
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:16
26.6,26.2,100,100,100,100,100,100,'2021/8/31 8:26:21
26.6,26.2,100,100,100,100,100,100,'2021/8/31 8:26:26
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:31
26.5,26.2,100,100,100,100,100,100,'2021/8/31 8:26:36
26.5,26.3,100,100,100,100,100,100,'2021/8/31 8:26:41
26.6,26.3,100,100,100,100,100,100,'2021/8/31 8:26:46
