T1,T2,RH,time
20.9,12.33,35.02,'2021/12/8 21:32:43
20.9,12.36,35.16,'2021/12/8 21:32:44
20.93,12.36,34.67,'2021/12/8 21:32:45
20.93,12.33,34.82,'2021/12/8 21:32:46
20.93,12.34,34.9,'2021/12/8 21:32:47
20.93,12.36,34.95,'2021/12/8 21:32:48
20.93,12.4,34.8,'2021/12/8 21:32:49
20.94,12.36,34.8,'2021/12/8 21:32:50
20.9,12.36,34.8,'2021/12/8 21:32:51
20.93,12.36,35.02,'2021/12/8 21:32:52
20.93,12.4,34.64,'2021/12/8 21:32:53
20.96,12.4,35.02,'2021/12/8 21:32:54
20.97,12.36,34.67,'2021/12/8 21:32:55
20.96,12.4,34.8,'2021/12/8 21:32:56
20.94,12.36,34.8,'2021/12/8 21:32:57
20.97,12.4,34.8,'2021/12/8 21:32:58
20.93,12.36,34.71,'2021/12/8 21:32:59
20.93,12.38,34.98,'2021/12/8 21:33:00
20.97,12.4,34.64,'2021/12/8 21:33:01
20.97,12.4,34.68,'2021/12/8 21:33:02
20.97,12.4,34.86,'2021/12/8 21:33:03
20.98,12.4,34.7,'2021/12/8 21:33:04
20.97,12.4,34.55,'2021/12/8 21:33:05
20.96,12.4,34.86,'2021/12/8 21:33:06
21,12.36,34.75,'2021/12/8 21:33:07
21,12.36,34.69,'2021/12/8 21:33:09
21,12.43,34.69,'2021/12/8 21:33:10
21,12.4,34.77,'2021/12/8 21:33:11
21,12.36,34.69,'2021/12/8 21:33:12
20.97,12.36,34.47,'2021/12/8 21:33:13
21,12.4,34.69,'2021/12/8 21:33:14
21,12.41,34.69,'2021/12/8 21:33:15
20.97,12.4,34.69,'2021/12/8 21:33:16
21,12.4,34.35,'2021/12/8 21:33:17
21,12.41,34.68,'2021/12/8 21:33:18
21,12.38,34.84,'2021/12/8 21:33:19
21,12.4,34.91,'2021/12/8 21:33:20
21,12.36,34.75,'2021/12/8 21:33:21
21,12.4,34.69,'2021/12/8 21:33:22
21.03,12.4,34.69,'2021/12/8 21:33:23
21.04,12.43,34.58,'2021/12/8 21:33:24
21.07,12.4,34.64,'2021/12/8 21:33:25
21.03,12.43,34.62,'2021/12/8 21:33:26
21,12.4,34.84,'2021/12/8 21:33:27
21.03,12.43,34.53,'2021/12/8 21:33:28
21.03,12.4,34.53,'2021/12/8 21:33:29
21.03,12.36,34.5,'2021/12/8 21:33:30
21.06,12.4,34.53,'2021/12/8 21:33:31
21.07,12.42,34.53,'2021/12/8 21:33:32
