T1,T2,RH,time
21.03,12.4,34.69,'2021/12/8 21:33:33
21.07,12.43,34.72,'2021/12/8 21:33:34
21.03,12.4,34.91,'2021/12/8 21:33:35
21,12.4,34.75,'2021/12/8 21:33:36
21.05,12.36,34.37,'2021/12/8 21:33:37
21.07,12.39,34.37,'2021/12/8 21:33:38
21.03,12.4,34.47,'2021/12/8 21:33:39
21.03,12.4,34.42,'2021/12/8 21:33:40
21.05,12.4,34.15,'2021/12/8 21:33:41
21,12.4,34.44,'2021/12/8 21:33:42
21.03,12.4,34.45,'2021/12/8 21:33:43
21.03,12.4,34.31,'2021/12/8 21:33:44
21.03,12.4,34.53,'2021/12/8 21:33:45
21.03,12.4,34.37,'2021/12/8 21:33:46
21,12.4,34.75,'2021/12/8 21:33:47
21.01,12.4,34.91,'2021/12/8 21:33:48
21.05,12.4,34.53,'2021/12/8 21:33:49
21,12.43,34.53,'2021/12/8 21:33:50
21,12.4,34.47,'2021/12/8 21:33:51
21.03,12.37,34.53,'2021/12/8 21:33:52
21.03,12.4,34.31,'2021/12/8 21:33:53
21,12.41,34.69,'2021/12/8 21:33:54
21.02,12.43,34.43,'2021/12/8 21:33:55
21,12.4,34.31,'2021/12/8 21:33:56
21.02,12.4,34.56,'2021/12/8 21:33:57
21.01,12.36,34.63,'2021/12/8 21:33:58
21.01,12.4,34.47,'2021/12/8 21:33:59
21.03,12.4,34.39,'2021/12/8 21:34:00
21.02,12.4,34.66,'2021/12/8 21:34:01
21,12.4,34.47,'2021/12/8 21:34:02
21,12.4,34.69,'2021/12/8 21:34:03
21,12.4,34.69,'2021/12/8 21:34:04
21,12.4,34.69,'2021/12/8 21:34:05
21.03,12.4,34.53,'2021/12/8 21:34:06
21.03,12.4,34.38,'2021/12/8 21:34:07
21,12.4,34.75,'2021/12/8 21:34:08
21.03,12.4,34.4,'2021/12/8 21:34:09
21.03,12.43,34.53,'2021/12/8 21:34:10
21.05,12.43,34.53,'2021/12/8 21:34:11
21.03,12.4,34.81,'2021/12/8 21:34:12
21.03,12.36,34.44,'2021/12/8 21:34:13
21.03,12.38,34.59,'2021/12/8 21:34:14
21.07,12.4,34.46,'2021/12/8 21:34:15
21.03,12.4,34.37,'2021/12/8 21:34:16
21.07,12.4,34.37,'2021/12/8 21:34:17
21.03,12.43,34.75,'2021/12/8 21:34:18
21.07,12.4,34.37,'2021/12/8 21:34:19
21.07,12.4,34.15,'2021/12/8 21:34:20
21.07,12.43,34.59,'2021/12/8 21:34:21
21.07,12.4,34.37,'2021/12/8 21:34:22
21.07,12.43,34.37,'2021/12/8 21:34:23
21.1,12.42,34.37,'2021/12/8 21:34:24
21.1,12.4,34.23,'2021/12/8 21:34:25
21.07,12.41,34.59,'2021/12/8 21:34:26
21.1,12.43,34.43,'2021/12/8 21:34:27
21.07,12.4,34.59,'2021/12/8 21:34:33
21.1,12.43,34.59,'2021/12/8 21:34:34
21.1,12.4,34.41,'2021/12/8 21:34:34
21.07,12.43,34.37,'2021/12/8 21:34:34
21.1,12.42,34.58,'2021/12/8 21:34:34
21.07,12.4,34.81,'2021/12/8 21:34:34
21.07,12.4,34.37,'2021/12/8 21:34:35
21.07,12.43,34.37,'2021/12/8 21:34:35
21.1,12.4,34.3,'2021/12/8 21:34:36
21.07,12.4,34.53,'2021/12/8 21:34:37
21.07,12.43,34.15,'2021/12/8 21:34:38
21.07,12.43,34.53,'2021/12/8 21:34:39
21.07,12.4,34.37,'2021/12/8 21:34:40
21.07,12.4,34.44,'2021/12/8 21:34:41
21.07,12.4,34.42,'2021/12/8 21:34:42
21.07,12.4,34.37,'2021/12/8 21:34:43
21.07,12.4,34.37,'2021/12/8 21:34:44
21.07,12.43,34.37,'2021/12/8 21:34:45
21.07,12.43,34.61,'2021/12/8 21:34:46
21.07,12.43,34.22,'2021/12/8 21:34:47
21.05,12.4,34.45,'2021/12/8 21:34:48
21.03,12.4,34.38,'2021/12/8 21:34:49
21.1,12.4,34.58,'2021/12/8 21:34:51
21.07,12.43,34.37,'2021/12/8 21:34:52
21.07,12.4,34.59,'2021/12/8 21:34:53
21.1,12.4,34.59,'2021/12/8 21:34:54
21.1,12.4,34.53,'2021/12/8 21:34:55
21.07,12.4,34.47,'2021/12/8 21:34:56
21.1,12.4,34.37,'2021/12/8 21:34:57
21.07,12.41,34.37,'2021/12/8 21:34:58
21.07,12.46,34.37,'2021/12/8 21:34:59
21.07,12.4,34.48,'2021/12/8 21:35:00
21.07,12.4,34.37,'2021/12/8 21:35:01
21.1,12.43,34.42,'2021/12/8 21:35:02
21.07,12.4,34.59,'2021/12/8 21:35:03
21.07,12.43,34.55,'2021/12/8 21:35:04
21.1,12.4,34.21,'2021/12/8 21:35:05
21.1,12.42,34.34,'2021/12/8 21:35:06
21.07,12.42,34.5,'2021/12/8 21:35:07
21.1,12.4,34.47,'2021/12/8 21:35:08
21.07,12.43,34.4,'2021/12/8 21:35:14
21.07,12.43,34.21,'2021/12/8 21:35:14
21.07,12.4,34.73,'2021/12/8 21:35:14
21.1,12.43,34.28,'2021/12/8 21:35:14
21.07,12.43,34.21,'2021/12/8 21:35:15
21.1,12.4,34.42,'2021/12/8 21:35:15
21.1,12.4,34.59,'2021/12/8 21:35:15
21.07,12.43,34.58,'2021/12/8 21:35:16
21.07,12.43,34.24,'2021/12/8 21:35:17
21.1,12.41,34.37,'2021/12/8 21:35:18
21.08,12.43,34.37,'2021/12/8 21:35:19
21.1,12.36,34.21,'2021/12/8 21:35:20
21.07,12.4,34.25,'2021/12/8 21:35:21
21.07,12.4,34.64,'2021/12/8 21:35:22
21.07,12.43,34.37,'2021/12/8 21:35:23
21.07,12.4,34.37,'2021/12/8 21:35:24
21.07,12.43,34.37,'2021/12/8 21:35:25
21.03,12.4,34.53,'2021/12/8 21:35:31
21.03,12.4,34.49,'2021/12/8 21:35:31
21.07,12.43,34.37,'2021/12/8 21:35:31
21.03,12.43,34.66,'2021/12/8 21:35:32
21.1,12.43,34.37,'2021/12/8 21:35:32
21.03,12.43,34.66,'2021/12/8 21:35:32
21.07,12.4,34.51,'2021/12/8 21:35:32
21.07,12.4,34.37,'2021/12/8 21:35:33
21.03,12.4,34.44,'2021/12/8 21:35:34
21.07,12.43,34.37,'2021/12/8 21:35:35
21.07,12.43,34.75,'2021/12/8 21:35:36
21.03,12.4,34.53,'2021/12/8 21:35:37
21.03,12.4,34.53,'2021/12/8 21:35:38
21.03,12.41,34.75,'2021/12/8 21:35:39
21.03,12.4,34.53,'2021/12/8 21:35:40
21.03,12.4,34.53,'2021/12/8 21:35:41
21.03,12.37,34.53,'2021/12/8 21:35:42
21.03,12.4,34.51,'2021/12/8 21:35:43
21.07,12.43,34.75,'2021/12/8 21:35:44
21,12.43,34.31,'2021/12/8 21:35:45
21.03,12.4,34.53,'2021/12/8 21:35:46
21.03,12.36,34.53,'2021/12/8 21:35:47
21.03,12.4,34.79,'2021/12/8 21:35:48
21,12.4,34.69,'2021/12/8 21:35:49
21,12.4,34.63,'2021/12/8 21:35:50
21.03,12.4,34.69,'2021/12/8 21:35:51
21,12.4,34.69,'2021/12/8 21:35:52
21.03,12.4,34.69,'2021/12/8 21:35:53
21.03,12.4,34.91,'2021/12/8 21:35:54
21,12.4,34.5,'2021/12/8 21:35:55
21,12.4,34.57,'2021/12/8 21:35:56
20.97,12.42,34.61,'2021/12/8 21:35:57
20.97,12.4,34.55,'2021/12/8 21:35:58
20.99,12.4,34.95,'2021/12/8 21:35:59
21,12.4,34.4,'2021/12/8 21:36:00
21,12.4,34.69,'2021/12/8 21:36:01
21,12.4,34.69,'2021/12/8 21:36:02
21,12.4,34.62,'2021/12/8 21:36:03
21,12.4,34.42,'2021/12/8 21:36:04
21,12.4,34.64,'2021/12/8 21:36:05
21,12.4,34.67,'2021/12/8 21:36:06
21,12.36,34.36,'2021/12/8 21:36:07
20.98,12.36,34.62,'2021/12/8 21:36:08
20.97,12.4,34.78,'2021/12/8 21:36:09
21,12.4,34.47,'2021/12/8 21:36:15
20.97,12.4,34.64,'2021/12/8 21:36:16
20.97,12.39,34.8,'2021/12/8 21:36:16
21,12.4,34.64,'2021/12/8 21:36:16
20.97,12.4,34.71,'2021/12/8 21:36:16
20.93,12.39,34.64,'2021/12/8 21:36:16
20.97,12.36,34.71,'2021/12/8 21:36:17
20.93,12.36,34.86,'2021/12/8 21:36:17
20.97,12.36,34.47,'2021/12/8 21:36:18
20.97,12.4,34.55,'2021/12/8 21:36:19
20.97,12.37,34.64,'2021/12/8 21:36:20
20.97,12.36,34.64,'2021/12/8 21:36:21
20.97,12.4,34.61,'2021/12/8 21:36:22
20.97,12.36,34.65,'2021/12/8 21:36:23
20.97,12.36,34.64,'2021/12/8 21:36:24
20.97,12.4,34.84,'2021/12/8 21:36:25
20.97,12.4,34.64,'2021/12/8 21:36:26
21,12.4,34.4,'2021/12/8 21:36:27
20.97,12.36,34.86,'2021/12/8 21:36:28
20.97,12.39,34.64,'2021/12/8 21:36:29
21,12.36,34.69,'2021/12/8 21:36:30
20.93,12.36,34.84,'2021/12/8 21:36:31
20.97,12.4,34.97,'2021/12/8 21:36:32
20.97,12.4,34.64,'2021/12/8 21:36:33
20.97,12.36,34.8,'2021/12/8 21:36:35
20.97,12.36,34.8,'2021/12/8 21:36:36
20.97,12.36,34.8,'2021/12/8 21:36:37
20.97,12.36,34.62,'2021/12/8 21:36:38
20.97,12.39,34.8,'2021/12/8 21:36:39
20.93,12.39,34.8,'2021/12/8 21:36:40
20.93,12.4,34.75,'2021/12/8 21:36:41
20.97,12.36,34.64,'2021/12/8 21:36:42
20.94,12.36,34.86,'2021/12/8 21:36:43
20.97,12.4,34.96,'2021/12/8 21:36:44
20.93,12.4,34.86,'2021/12/8 21:36:45
20.97,12.36,34.77,'2021/12/8 21:36:46
20.97,12.36,34.59,'2021/12/8 21:36:47
20.97,12.33,34.8,'2021/12/8 21:36:48
20.97,12.4,34.64,'2021/12/8 21:36:49
20.97,12.36,34.64,'2021/12/8 21:36:50
20.93,12.36,34.42,'2021/12/8 21:36:51
20.93,12.36,34.91,'2021/12/8 21:36:52
20.97,12.36,34.76,'2021/12/8 21:36:53
20.97,12.4,34.8,'2021/12/8 21:36:54
20.93,12.4,34.58,'2021/12/8 21:36:55
20.95,12.36,34.86,'2021/12/8 21:36:56
20.97,12.4,34.65,'2021/12/8 21:36:57
20.93,12.36,34.52,'2021/12/8 21:36:58
20.94,12.39,35.02,'2021/12/8 21:36:59
20.93,12.36,34.64,'2021/12/8 21:37:00
20.93,12.36,34.67,'2021/12/8 21:37:01
20.93,12.36,34.8,'2021/12/8 21:37:02
20.97,12.36,34.73,'2021/12/8 21:37:03
20.93,12.4,34.49,'2021/12/8 21:37:04
20.93,12.36,34.64,'2021/12/8 21:37:05
20.95,12.33,35.02,'2021/12/8 21:37:11
20.93,12.33,35.02,'2021/12/8 21:37:11
20.93,12.36,34.8,'2021/12/8 21:37:11
20.93,12.36,35.02,'2021/12/8 21:37:11
20.97,12.4,34.69,'2021/12/8 21:37:12
20.93,12.4,34.64,'2021/12/8 21:37:12
20.93,12.33,35.08,'2021/12/8 21:37:12
20.93,12.36,34.99,'2021/12/8 21:37:13
20.94,12.36,35.18,'2021/12/8 21:37:14
20.93,12.33,34.8,'2021/12/8 21:37:15
20.93,12.4,34.8,'2021/12/8 21:37:16
20.93,12.4,34.64,'2021/12/8 21:37:17
20.97,12.36,35.05,'2021/12/8 21:37:18
20.9,12.36,34.79,'2021/12/8 21:37:19
20.93,12.36,34.58,'2021/12/8 21:37:20
20.93,12.4,35.04,'2021/12/8 21:37:21
20.9,12.36,34.88,'2021/12/8 21:37:22
20.96,12.36,34.8,'2021/12/8 21:37:23
20.93,12.37,34.64,'2021/12/8 21:37:24
20.93,12.36,34.8,'2021/12/8 21:37:25
20.93,12.36,34.8,'2021/12/8 21:37:26
20.9,12.34,34.96,'2021/12/8 21:37:32
20.93,12.36,34.96,'2021/12/8 21:37:32
20.93,12.36,34.96,'2021/12/8 21:37:32
20.93,12.4,34.96,'2021/12/8 21:37:33
20.93,12.36,34.8,'2021/12/8 21:37:33
20.93,12.36,34.68,'2021/12/8 21:37:33
20.93,12.4,34.8,'2021/12/8 21:37:33
20.9,12.36,34.79,'2021/12/8 21:37:34
20.93,12.36,34.8,'2021/12/8 21:37:35
20.93,12.36,34.58,'2021/12/8 21:37:36
20.9,12.36,34.69,'2021/12/8 21:37:37
20.93,12.36,34.8,'2021/12/8 21:37:38
20.9,12.36,35.02,'2021/12/8 21:37:39
20.9,12.36,34.95,'2021/12/8 21:37:40
20.9,12.36,34.96,'2021/12/8 21:37:41
20.93,12.38,34.96,'2021/12/8 21:37:42
20.93,12.36,35.02,'2021/12/8 21:37:43
20.93,12.36,35.06,'2021/12/8 21:37:44
20.91,12.36,35.18,'2021/12/8 21:37:45
20.93,12.4,34.96,'2021/12/8 21:37:46
20.9,12.37,34.86,'2021/12/8 21:37:47
20.9,12.36,35.02,'2021/12/8 21:37:48
20.93,12.36,35.04,'2021/12/8 21:37:49
20.93,12.39,34.81,'2021/12/8 21:37:50
20.93,12.4,34.87,'2021/12/8 21:37:51
20.9,12.38,35.12,'2021/12/8 21:37:52
20.93,12.4,34.63,'2021/12/8 21:37:53
20.9,12.4,35.11,'2021/12/8 21:37:54
20.92,12.36,34.8,'2021/12/8 21:37:55
20.9,12.36,34.8,'2021/12/8 21:37:56
20.93,12.34,34.77,'2021/12/8 21:37:57
20.93,12.39,35.14,'2021/12/8 21:37:58
20.9,12.36,35.11,'2021/12/8 21:37:59
20.9,12.33,35.18,'2021/12/8 21:38:00
20.87,12.36,34.8,'2021/12/8 21:38:01
20.9,12.33,34.96,'2021/12/8 21:38:02
20.93,12.38,35.21,'2021/12/8 21:38:03
20.9,12.4,35.18,'2021/12/8 21:38:04
20.9,12.4,34.8,'2021/12/8 21:38:05
20.9,12.36,34.65,'2021/12/8 21:38:06
20.93,12.36,34.96,'2021/12/8 21:38:07
20.9,12.36,34.96,'2021/12/8 21:38:08
20.92,12.33,34.96,'2021/12/8 21:38:09
20.93,12.36,35.02,'2021/12/8 21:38:10
20.9,12.4,35.08,'2021/12/8 21:38:11
20.97,12.39,34.8,'2021/12/8 21:38:12
20.9,12.4,34.99,'2021/12/8 21:38:13
20.9,12.36,35.02,'2021/12/8 21:38:14
20.93,12.36,34.96,'2021/12/8 21:38:15
20.9,12.36,34.92,'2021/12/8 21:38:22
20.9,12.33,34.96,'2021/12/8 21:38:22
20.9,12.36,34.8,'2021/12/8 21:38:22
20.93,12.36,34.96,'2021/12/8 21:38:22
20.93,12.36,34.86,'2021/12/8 21:38:22
20.93,12.36,34.61,'2021/12/8 21:38:23
20.93,12.36,34.8,'2021/12/8 21:38:23
20.9,12.33,34.87,'2021/12/8 21:38:24
20.9,12.33,34.96,'2021/12/8 21:38:30
20.9,12.4,34.88,'2021/12/8 21:38:30
20.9,12.35,34.87,'2021/12/8 21:38:30
20.93,12.36,34.74,'2021/12/8 21:38:30
20.93,12.35,35.02,'2021/12/8 21:38:31
20.93,12.36,35.28,'2021/12/8 21:38:31
20.93,12.36,34.93,'2021/12/8 21:38:31
20.9,12.36,34.87,'2021/12/8 21:38:32
20.9,12.36,34.74,'2021/12/8 21:38:33
20.93,12.33,34.71,'2021/12/8 21:38:34
20.93,12.36,34.8,'2021/12/8 21:38:35
20.9,12.33,34.74,'2021/12/8 21:38:36
20.93,12.36,34.74,'2021/12/8 21:38:37
20.9,12.36,34.8,'2021/12/8 21:38:38
20.93,12.36,34.96,'2021/12/8 21:38:39
20.9,12.36,35.02,'2021/12/8 21:38:40
20.9,12.36,34.88,'2021/12/8 21:38:41
20.9,12.36,35.02,'2021/12/8 21:38:42
20.93,12.36,34.85,'2021/12/8 21:38:43
20.9,12.36,34.94,'2021/12/8 21:38:44
20.9,12.36,34.96,'2021/12/8 21:38:45
20.9,12.36,34.8,'2021/12/8 21:38:46
20.93,12.36,34.96,'2021/12/8 21:38:47
20.9,12.35,34.76,'2021/12/8 21:38:48
20.9,12.4,35.02,'2021/12/8 21:38:49
20.9,12.36,35.08,'2021/12/8 21:38:50
20.9,12.36,34.8,'2021/12/8 21:38:51
20.87,12.36,35.41,'2021/12/8 21:38:52
20.9,12.36,34.74,'2021/12/8 21:38:53
20.9,12.33,35.3,'2021/12/8 21:38:54
20.92,12.36,34.82,'2021/12/8 21:38:55
20.9,12.36,34.9,'2021/12/8 21:38:56
20.9,12.33,34.96,'2021/12/8 21:38:57
20.9,12.36,34.74,'2021/12/8 21:38:58
20.87,12.36,34.96,'2021/12/8 21:38:59
20.93,12.36,34.96,'2021/12/8 21:39:00
20.9,12.33,34.96,'2021/12/8 21:39:01
20.9,12.36,34.42,'2021/12/8 21:39:02
20.9,12.36,34.96,'2021/12/8 21:39:03
20.9,12.37,34.9,'2021/12/8 21:39:04
20.9,12.36,34.78,'2021/12/8 21:39:05
20.9,12.36,34.96,'2021/12/8 21:39:06
20.9,12.33,34.96,'2021/12/8 21:39:07
20.9,12.36,34.58,'2021/12/8 21:39:08
20.9,12.39,34.96,'2021/12/8 21:39:09
20.9,12.36,34.94,'2021/12/8 21:39:10
20.9,12.36,34.8,'2021/12/8 21:39:11
20.93,12.33,34.96,'2021/12/8 21:39:12
20.9,12.36,34.96,'2021/12/8 21:39:13
20.9,12.36,34.96,'2021/12/8 21:39:14
20.9,12.36,34.74,'2021/12/8 21:39:15
20.9,12.36,34.8,'2021/12/8 21:39:16
20.9,12.36,34.8,'2021/12/8 21:39:17
20.93,12.33,34.8,'2021/12/8 21:39:18
20.9,12.35,34.93,'2021/12/8 21:39:19
20.87,12.36,34.96,'2021/12/8 21:39:20
20.9,12.36,34.96,'2021/12/8 21:39:21
20.9,12.36,34.96,'2021/12/8 21:39:22
20.9,12.36,34.96,'2021/12/8 21:39:23
20.9,12.33,34.74,'2021/12/8 21:39:24
20.93,12.36,34.95,'2021/12/8 21:39:25
20.92,12.36,34.94,'2021/12/8 21:39:26
20.9,12.36,35.11,'2021/12/8 21:39:27
20.93,12.4,34.8,'2021/12/8 21:39:28
20.91,12.4,34.73,'2021/12/8 21:39:29
20.93,12.36,35.04,'2021/12/8 21:39:30
20.9,12.36,34.74,'2021/12/8 21:39:31
20.9,12.34,34.81,'2021/12/8 21:39:32
20.93,12.36,34.58,'2021/12/8 21:39:33
20.91,12.36,34.74,'2021/12/8 21:39:34
20.91,12.36,34.58,'2021/12/8 21:39:35
20.93,12.36,34.96,'2021/12/8 21:39:36
20.91,12.36,34.96,'2021/12/8 21:39:37
20.9,12.36,34.96,'2021/12/8 21:39:38
20.93,12.35,34.74,'2021/12/8 21:39:39
20.93,12.33,34.58,'2021/12/8 21:39:40
20.9,12.33,35.26,'2021/12/8 21:39:41
20.91,12.36,34.96,'2021/12/8 21:39:42
20.9,12.36,34.89,'2021/12/8 21:39:43
20.9,12.36,34.96,'2021/12/8 21:39:44
20.9,12.36,34.73,'2021/12/8 21:39:45
20.87,12.36,34.84,'2021/12/8 21:39:46
20.9,12.36,34.58,'2021/12/8 21:39:47
20.89,12.33,35.18,'2021/12/8 21:39:48
20.87,12.35,34.96,'2021/12/8 21:39:49
20.93,12.37,34.6,'2021/12/8 21:39:50
20.9,12.33,34.74,'2021/12/8 21:39:51
20.93,12.36,34.91,'2021/12/8 21:39:52
20.9,12.36,34.89,'2021/12/8 21:39:53
20.91,12.33,34.92,'2021/12/8 21:39:54
20.9,12.36,34.36,'2021/12/8 21:39:55
20.9,12.36,34.82,'2021/12/8 21:39:56
20.9,12.35,34.96,'2021/12/8 21:39:57
20.9,12.33,34.96,'2021/12/8 21:39:58
20.9,12.33,34.96,'2021/12/8 21:39:59
20.93,12.33,34.64,'2021/12/8 21:40:00
20.9,12.36,34.99,'2021/12/8 21:40:01
20.9,12.36,34.96,'2021/12/8 21:40:02
20.9,12.36,34.96,'2021/12/8 21:40:03
20.9,12.36,34.96,'2021/12/8 21:40:05
20.9,12.33,34.96,'2021/12/8 21:40:06
20.9,12.38,34.74,'2021/12/8 21:40:07
20.87,12.36,34.74,'2021/12/8 21:40:08
20.93,12.34,34.47,'2021/12/8 21:40:09
20.9,12.36,34.75,'2021/12/8 21:40:10
20.9,12.36,34.67,'2021/12/8 21:40:11
20.9,12.34,34.96,'2021/12/8 21:40:12
20.9,12.33,34.96,'2021/12/8 21:40:13
20.93,12.36,35.34,'2021/12/8 21:40:14
20.9,12.36,35.03,'2021/12/8 21:40:15
20.93,12.33,34.96,'2021/12/8 21:40:16
20.9,12.35,34.81,'2021/12/8 21:40:17
20.93,12.36,34.74,'2021/12/8 21:40:18
20.89,12.36,34.74,'2021/12/8 21:40:19
20.93,12.33,35.03,'2021/12/8 21:40:20
20.88,12.33,34.74,'2021/12/8 21:40:21
20.89,12.33,35.13,'2021/12/8 21:40:22
20.91,12.36,34.96,'2021/12/8 21:40:23
20.88,12.36,35.13,'2021/12/8 21:40:24
20.9,12.33,34.9,'2021/12/8 21:40:25
20.9,12.36,34.78,'2021/12/8 21:40:26
20.87,12.36,34.86,'2021/12/8 21:40:27
20.87,12.36,34.84,'2021/12/8 21:40:28
20.9,12.36,34.96,'2021/12/8 21:40:29
20.87,12.33,34.96,'2021/12/8 21:40:30
20.9,12.36,35.11,'2021/12/8 21:40:31
20.93,12.36,34.84,'2021/12/8 21:40:32
20.87,12.36,34.88,'2021/12/8 21:40:33
20.87,12.33,34.8,'2021/12/8 21:40:34
20.9,12.33,34.9,'2021/12/8 21:40:35
20.9,12.36,34.74,'2021/12/8 21:40:36
20.87,12.33,34.74,'2021/12/8 21:40:37
20.87,12.33,34.96,'2021/12/8 21:40:38
20.87,12.32,35.01,'2021/12/8 21:40:39
20.87,12.3,34.96,'2021/12/8 21:40:40
20.87,12.33,34.98,'2021/12/8 21:40:41
20.87,12.36,35.13,'2021/12/8 21:40:42
20.9,12.33,34.85,'2021/12/8 21:40:43
20.9,12.36,34.91,'2021/12/8 21:40:44
20.87,12.33,34.85,'2021/12/8 21:40:45
20.87,12.36,34.91,'2021/12/8 21:40:46
20.87,12.34,34.96,'2021/12/8 21:40:47
20.89,12.34,35.29,'2021/12/8 21:40:48
20.89,12.33,34.91,'2021/12/8 21:40:49
20.9,12.34,34.91,'2021/12/8 21:40:50
20.87,12.33,34.91,'2021/12/8 21:40:51
20.87,12.36,35.13,'2021/12/8 21:40:52
20.87,12.35,34.91,'2021/12/8 21:40:53
20.9,12.33,35.15,'2021/12/8 21:40:54
20.87,12.35,34.91,'2021/12/8 21:40:55
20.9,12.36,34.69,'2021/12/8 21:40:56
20.87,12.33,35.28,'2021/12/8 21:40:57
20.87,12.33,34.84,'2021/12/8 21:40:58
20.87,12.33,35.13,'2021/12/8 21:40:59
20.87,12.36,35.05,'2021/12/8 21:41:00
20.9,12.33,34.92,'2021/12/8 21:41:01
20.88,12.36,34.74,'2021/12/8 21:41:02
20.87,12.34,35.01,'2021/12/8 21:41:03
20.88,12.33,34.91,'2021/12/8 21:41:04
20.84,12.3,34.91,'2021/12/8 21:41:05
20.87,12.33,34.91,'2021/12/8 21:41:06
20.9,12.36,34.97,'2021/12/8 21:41:07
20.87,12.33,34.91,'2021/12/8 21:41:08
20.87,12.36,35.01,'2021/12/8 21:41:09
20.87,12.33,34.91,'2021/12/8 21:41:10
20.83,12.36,35.07,'2021/12/8 21:41:11
20.85,12.36,34.91,'2021/12/8 21:41:12
20.87,12.36,35.04,'2021/12/8 21:41:13
20.87,12.36,35.13,'2021/12/8 21:41:14
20.87,12.36,34.75,'2021/12/8 21:41:15
20.87,12.36,34.91,'2021/12/8 21:41:16
20.83,12.36,35.29,'2021/12/8 21:41:17
20.9,12.33,35.36,'2021/12/8 21:41:18
20.83,12.36,35.07,'2021/12/8 21:41:19
20.83,12.36,35.07,'2021/12/8 21:41:20
20.87,12.36,34.72,'2021/12/8 21:41:21
20.87,12.36,34.91,'2021/12/8 21:41:22
20.87,12.36,35.22,'2021/12/8 21:41:23
20.83,12.36,35.29,'2021/12/8 21:41:24
20.83,12.33,35.13,'2021/12/8 21:41:25
20.83,12.3,34.91,'2021/12/8 21:41:26
20.89,12.36,35.13,'2021/12/8 21:41:27
20.83,12.33,35.07,'2021/12/8 21:41:28
20.87,12.33,35.13,'2021/12/8 21:41:29
20.9,12.33,34.91,'2021/12/8 21:41:30
20.83,12.37,34.96,'2021/12/8 21:41:31
20.9,12.33,35.2,'2021/12/8 21:41:32
20.83,12.33,34.91,'2021/12/8 21:41:33
20.83,12.35,34.98,'2021/12/8 21:41:34
20.83,12.33,35.05,'2021/12/8 21:41:35
20.87,12.33,35.28,'2021/12/8 21:41:36
20.87,12.36,35.07,'2021/12/8 21:41:37
20.84,12.33,35.13,'2021/12/8 21:41:38
20.83,12.3,35.07,'2021/12/8 21:41:39
20.87,12.36,34.91,'2021/12/8 21:41:40
20.87,12.33,35.07,'2021/12/8 21:41:41
20.87,12.36,35.29,'2021/12/8 21:41:42
20.84,12.36,35.17,'2021/12/8 21:41:43
20.83,12.33,35.28,'2021/12/8 21:41:44
20.87,12.36,34.91,'2021/12/8 21:41:45
20.83,12.33,35.07,'2021/12/8 21:41:46
20.83,12.33,35.19,'2021/12/8 21:41:48
