T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
24.08,24.08,0,0,0,0,0,0,'2021/12/4 18:51:06
24.08,24.08,0,0,0,0,0,0,'2021/12/4 18:51:07
24.01,24.08,0,0,0,0,0,0,'2021/12/4 18:51:08
24.01,24.08,0,0,0,0,0,0,'2021/12/4 18:51:09
24.01,24.04,0,0,0,0,0,0,'2021/12/4 18:51:10
24.04,24.07,0,0,0,0,0,0,'2021/12/4 18:51:13
24.01,24.04,0,0,0,0,0,0,'2021/12/4 18:51:14
24.04,24.08,0,0,0,0,0,0,'2021/12/4 18:51:15
24.04,24.04,0,0,0,0,0,0,'2021/12/4 18:51:16
24.04,24.04,0,0,0,0,0,0,'2021/12/4 18:51:17
24.01,24.08,0,0,0,0,0,0,'2021/12/4 18:51:18
24.01,24.04,0,0,0,0,0,0,'2021/12/4 18:51:19
24.04,24.04,0,0,0,0,0,0,'2021/12/4 18:51:20
24.04,24.04,0,0,0,0,0,0,'2021/12/4 18:51:21
