T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:01
24.1,24.2,100,100,100,100,100,100,'2021/9/6 8:41:06
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:11
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:16
24.1,24.2,100,100,100,100,100,100,'2021/9/6 8:41:21
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:26
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:31
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:41:36
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:41:41
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:46
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:41:51
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:41:56
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:01
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:42:06
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:11
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:42:16
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:21
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:42:26
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:31
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:36
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:41
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:46
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:51
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:42:56
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:01
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:06
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:11
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:16
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:21
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:26
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:31
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:36
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:41
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:46
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:51
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:43:56
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:01
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:06
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:11
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:16
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:21
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:26
24.2,24.3,100,100,100,100,100,100,'2021/9/6 8:44:31
24.1,24.3,100,100,100,100,100,100,'2021/9/6 8:44:36
