T1,T2,RH,time
19.99,17.57,79.39,'2021/12/9 9:17:51
20.02,17.56,78.91,'2021/12/9 9:17:51
20.02,17.59,78.95,'2021/12/9 9:17:51
20.02,17.56,78.95,'2021/12/9 9:17:51
20.02,17.59,79.19,'2021/12/9 9:17:51
20.02,17.56,79,'2021/12/9 9:17:52
20.02,17.59,78.95,'2021/12/9 9:17:53
20.02,17.59,78.88,'2021/12/9 9:17:54
20.02,17.59,78.69,'2021/12/9 9:17:55
20.01,17.59,78.95,'2021/12/9 9:17:56
19.99,17.59,78.81,'2021/12/9 9:17:57
20.02,17.56,79.16,'2021/12/9 9:17:58
19.98,17.56,78.68,'2021/12/9 9:17:59
19.99,17.56,79.21,'2021/12/9 9:18:00
20.02,17.59,78.67,'2021/12/9 9:18:01
19.99,17.56,79.21,'2021/12/9 9:18:02
19.99,17.59,78.98,'2021/12/9 9:18:03
20.02,17.56,79.47,'2021/12/9 9:18:06
19.99,17.56,78.93,'2021/12/9 9:18:06
19.99,17.56,78.65,'2021/12/9 9:18:06
19.99,17.56,79.09,'2021/12/9 9:18:07
19.95,17.57,78.67,'2021/12/9 9:18:08
19.96,17.56,79.42,'2021/12/9 9:18:09
19.99,17.56,78.78,'2021/12/9 9:18:10
19.99,17.57,78.95,'2021/12/9 9:18:11
19.99,17.52,78.87,'2021/12/9 9:18:12
20.01,17.56,78.93,'2021/12/9 9:18:13
19.95,17.59,78.76,'2021/12/9 9:18:14
19.99,17.56,78.93,'2021/12/9 9:18:15
19.99,17.59,78.93,'2021/12/9 9:18:16
19.99,17.56,78.93,'2021/12/9 9:18:17
19.95,17.57,78.93,'2021/12/9 9:18:18
20.02,17.56,78.93,'2021/12/9 9:18:19
19.99,17.59,78.93,'2021/12/9 9:18:20
19.99,17.56,79.38,'2021/12/9 9:18:21
19.99,17.52,78.67,'2021/12/9 9:18:22
19.99,17.56,79.03,'2021/12/9 9:18:23
19.99,17.56,78.89,'2021/12/9 9:18:24
19.99,17.59,79,'2021/12/9 9:18:25
20.02,17.59,79.37,'2021/12/9 9:18:26
20.02,17.59,78.67,'2021/12/9 9:18:27
20.02,17.56,79.07,'2021/12/9 9:18:28
20.02,17.56,79.07,'2021/12/9 9:18:29
19.99,17.58,78.67,'2021/12/9 9:18:30
19.95,17.56,79.21,'2021/12/9 9:18:33
19.99,17.59,78.67,'2021/12/9 9:18:33
19.99,17.56,78.67,'2021/12/9 9:18:33
20.02,17.59,78.73,'2021/12/9 9:18:34
20.02,17.56,78.7,'2021/12/9 9:18:35
20.02,17.56,78.67,'2021/12/9 9:18:36
20.02,17.56,78.67,'2021/12/9 9:18:37
19.99,17.56,78.67,'2021/12/9 9:18:38
19.99,17.56,78.93,'2021/12/9 9:18:41
19.99,17.59,78.92,'2021/12/9 9:18:41
19.99,17.59,79.05,'2021/12/9 9:18:44
19.99,17.59,79.08,'2021/12/9 9:18:44
19.99,17.56,78.95,'2021/12/9 9:18:44
20.02,17.56,79.21,'2021/12/9 9:18:44
20.02,17.56,78.95,'2021/12/9 9:18:45
20.02,17.59,78.67,'2021/12/9 9:18:46
20.02,17.59,78.67,'2021/12/9 9:18:47
20.02,17.56,78.67,'2021/12/9 9:18:48
20.02,17.56,78.69,'2021/12/9 9:18:49
20.02,17.59,78.95,'2021/12/9 9:18:50
20.02,17.56,78.81,'2021/12/9 9:18:51
20.02,17.56,78.47,'2021/12/9 9:18:52
19.99,17.56,78.95,'2021/12/9 9:18:53
20.02,17.59,78.67,'2021/12/9 9:18:54
19.99,17.56,78.83,'2021/12/9 9:18:55
20.04,17.58,78.93,'2021/12/9 9:19:00
20.01,17.59,78.71,'2021/12/9 9:19:02
20.06,17.56,79.21,'2021/12/9 9:19:03
19.98,17.55,78.93,'2021/12/9 9:19:03
19.99,17.59,78.54,'2021/12/9 9:19:03
19.99,17.52,78.98,'2021/12/9 9:19:03
19.99,17.56,78.93,'2021/12/9 9:19:06
19.99,17.59,78.93,'2021/12/9 9:19:06
20.02,17.56,79.19,'2021/12/9 9:19:06
19.99,17.52,79.09,'2021/12/9 9:19:06
19.99,17.59,79.31,'2021/12/9 9:19:07
19.99,17.59,78.93,'2021/12/9 9:19:07
19.99,17.56,78.74,'2021/12/9 9:19:08
19.99,17.56,79.16,'2021/12/9 9:19:11
19.95,17.59,79.21,'2021/12/9 9:19:12
19.99,17.56,78.74,'2021/12/9 9:19:14
19.99,17.56,78.93,'2021/12/9 9:19:14
20.01,17.56,78.93,'2021/12/9 9:19:14
19.99,17.56,78.93,'2021/12/9 9:19:15
19.99,17.59,78.93,'2021/12/9 9:19:15
19.99,17.56,79.08,'2021/12/9 9:19:16
19.95,17.56,78.67,'2021/12/9 9:19:17
19.99,17.56,79.16,'2021/12/9 9:19:18
19.99,17.59,79.47,'2021/12/9 9:19:19
20.01,17.56,78.93,'2021/12/9 9:19:20
19.99,17.56,78.93,'2021/12/9 9:19:21
19.99,17.56,78.93,'2021/12/9 9:19:22
19.99,17.59,79.21,'2021/12/9 9:19:24
19.99,17.56,78.93,'2021/12/9 9:19:25
19.99,17.56,78.88,'2021/12/9 9:19:26
19.99,17.56,78.93,'2021/12/9 9:19:27
19.99,17.56,78.94,'2021/12/9 9:19:28
19.99,17.59,78.65,'2021/12/9 9:19:29
19.99,17.56,79.44,'2021/12/9 9:19:30
19.99,17.56,79.33,'2021/12/9 9:19:31
20.02,17.59,78.83,'2021/12/9 9:19:32
19.99,17.56,78.73,'2021/12/9 9:19:33
19.99,17.56,78.65,'2021/12/9 9:19:34
19.99,17.59,79,'2021/12/9 9:19:35
20.02,17.56,78.67,'2021/12/9 9:19:36
20.02,17.56,78.94,'2021/12/9 9:19:37
19.99,17.55,79.21,'2021/12/9 9:19:38
19.99,17.57,78.76,'2021/12/9 9:19:39
19.99,17.56,78.7,'2021/12/9 9:19:40
19.99,17.58,79.04,'2021/12/9 9:19:41
20.02,17.57,78.95,'2021/12/9 9:19:42
20.02,17.59,79.24,'2021/12/9 9:19:43
19.99,17.59,78.5,'2021/12/9 9:19:44
19.95,17.56,78.94,'2021/12/9 9:19:45
20,17.62,78.67,'2021/12/9 9:19:46
19.99,17.59,79.21,'2021/12/9 9:19:47
19.99,17.56,79.21,'2021/12/9 9:19:48
19.99,17.56,78.93,'2021/12/9 9:19:49
19.99,17.59,78.77,'2021/12/9 9:19:50
20.02,17.59,79.2,'2021/12/9 9:19:51
19.99,17.56,79.21,'2021/12/9 9:19:52
19.99,17.59,79.01,'2021/12/9 9:19:53
19.99,17.59,78.71,'2021/12/9 9:19:54
20.02,17.62,79.47,'2021/12/9 9:19:55
19.99,17.59,79.01,'2021/12/9 9:19:56
19.97,17.59,78.67,'2021/12/9 9:19:57
19.99,17.56,78.65,'2021/12/9 9:19:58
20.02,17.59,79.49,'2021/12/9 9:19:59
20.02,17.62,79.21,'2021/12/9 9:20:00
19.99,17.59,79.18,'2021/12/9 9:20:01
19.99,17.59,79.23,'2021/12/9 9:20:02
20.02,17.59,78.95,'2021/12/9 9:20:03
19.99,17.61,78.95,'2021/12/9 9:20:04
20.02,17.59,79.49,'2021/12/9 9:20:05
19.99,17.56,79.23,'2021/12/9 9:20:06
19.99,17.59,78.93,'2021/12/9 9:20:07
19.99,17.59,79.32,'2021/12/9 9:20:08
20.02,17.62,78.95,'2021/12/9 9:20:09
20.02,17.62,79.21,'2021/12/9 9:20:10
20.01,17.59,79.49,'2021/12/9 9:20:11
20.02,17.59,79.17,'2021/12/9 9:20:12
19.99,17.56,79.04,'2021/12/9 9:20:13
20.02,17.59,78.95,'2021/12/9 9:20:14
20.02,17.62,78.95,'2021/12/9 9:20:15
20.02,17.59,78.95,'2021/12/9 9:20:16
20.02,17.62,78.95,'2021/12/9 9:20:17
20.02,17.62,78.95,'2021/12/9 9:20:20
20.02,17.59,78.79,'2021/12/9 9:20:20
20.02,17.59,78.95,'2021/12/9 9:20:20
20.02,17.59,78.95,'2021/12/9 9:20:21
19.99,17.59,79.23,'2021/12/9 9:20:22
20.02,17.59,78.95,'2021/12/9 9:20:23
20,17.59,78.95,'2021/12/9 9:20:24
19.99,17.59,78.95,'2021/12/9 9:20:25
20.02,17.59,78.95,'2021/12/9 9:20:26
20.01,17.59,78.92,'2021/12/9 9:20:27
